ds,y,tipo_tramite,sede,regimen
2025-01-01,500,cambio_calidad,AREQUIPA,pre_2026
2025-02-01,414,cambio_calidad,AREQUIPA,pre_2026
2025-03-01,415,cambio_calidad,AREQUIPA,pre_2026
2025-04-01,307,cambio_calidad,AREQUIPA,pre_2026
2025-05-01,416,cambio_calidad,AREQUIPA,pre_2026
2025-06-01,276,cambio_calidad,AREQUIPA,pre_2026
2025-07-01,258,cambio_calidad,AREQUIPA,pre_2026
2025-08-01,258,cambio_calidad,AREQUIPA,pre_2026
2025-09-01,257,cambio_calidad,AREQUIPA,pre_2026
2025-10-01,307,cambio_calidad,AREQUIPA,pre_2026
2025-11-01,269,cambio_calidad,AREQUIPA,pre_2026
2025-12-01,304,cambio_calidad,AREQUIPA,pre_2026
2026-01-01,226,cambio_calidad,AREQUIPA,post_2026
2026-02-01,208,cambio_calidad,AREQUIPA,post_2026
2026-03-01,272,cambio_calidad,AREQUIPA,post_2026
2026-04-01,222,cambio_calidad,AREQUIPA,post_2026
2026-05-01,225,cambio_calidad,AREQUIPA,post_2026
2026-06-01,225,cambio_calidad,AREQUIPA,post_2026
2026-07-01,210,cambio_calidad,AREQUIPA,post_2026
2026-08-01,212,cambio_calidad,AREQUIPA,post_2026
2025-01-01,304,cambio_calidad,CHICLAYO,pre_2026
2025-02-01,340,cambio_calidad,CHICLAYO,pre_2026
2025-03-01,357,cambio_calidad,CHICLAYO,pre_2026
2025-04-01,348,cambio_calidad,CHICLAYO,pre_2026
2025-05-01,335,cambio_calidad,CHICLAYO,pre_2026
2025-06-01,429,cambio_calidad,CHICLAYO,pre_2026
2025-07-01,414,cambio_calidad,CHICLAYO,pre_2026
2025-08-01,319,cambio_calidad,CHICLAYO,pre_2026
2025-09-01,272,cambio_calidad,CHICLAYO,pre_2026
2025-10-01,299,cambio_calidad,CHICLAYO,pre_2026
2025-11-01,305,cambio_calidad,CHICLAYO,pre_2026
2025-12-01,417,cambio_calidad,CHICLAYO,pre_2026
2026-01-01,213,cambio_calidad,CHICLAYO,post_2026
2026-02-01,250,cambio_calidad,CHICLAYO,post_2026
2026-03-01,240,cambio_calidad,CHICLAYO,post_2026
2026-04-01,326,cambio_calidad,CHICLAYO,post_2026
2026-05-01,323,cambio_calidad,CHICLAYO,post_2026
2026-06-01,362,cambio_calidad,CHICLAYO,post_2026
2026-07-01,302,cambio_calidad,CHICLAYO,post_2026
2026-08-01,305,cambio_calidad,CHICLAYO,post_2026
2025-01-01,274,cambio_calidad,CHIMBOTE,pre_2026
